                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.2662,                 1.7444,                 1.0408,                0.00212,                  0.875,                0.09228,                0.06638,                 1.4082,                 4.2623,                 1.2906,             0.00075792,             0.00075792,             0.00075792
                     31,                 1.1985,                 1.8031,                 1.0798,                0.00242,                      1,                 0.4971,                0.32369,                 1.4284,                 3.9138,                 1.2995,             0.00074704,             0.00074704,             0.00074704
                     32,                 1.3332,                 1.9072,                 1.2248,                0.00242,                      1,                0.49903,                0.32438,                 1.4308,                 3.7788,                 1.3131,             0.00073378,             0.00073378,             0.00073378
                     33,                 1.2081,                  1.789,                 1.0516,                0.00242,                      1,                0.49903,                0.32438,                 1.4308,                 3.7788,                 1.3131,             0.00071814,             0.00071814,             0.00071814
                     34,                 1.1674,                 3.1338,                 1.0805,                0.00242,                      1,                0.50187,                0.33773,                 1.3391,                  3.756,                 1.2758,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1395,                  1.743,                 1.0337,                      1,                0.41672,                0.76004,                0.46881,                 1.3826,                 3.6757,                 1.2999,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2029,                 1.8249,                 1.0029,                      1,                0.49927,                0.82878,                0.49011,                 1.4517,                 3.5736,                 1.3414,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1282,                 1.8831,                 1.0486,                      1,                0.49927,                0.82878,                0.49011,                 1.4517,                 3.5736,                 1.3414,               0.000614,               0.000614,               0.000614
                     38,                 1.3137,                 1.8424,                 1.0607,                0.86472,                    0.5,                0.82948,                 0.4463,                 1.5858,                  3.446,                 1.4169,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.2596,                 1.5844,                 1.1219,                0.84029,                 0.6615,                0.93944,                 0.4694,                 1.6875,                 3.1268,                 1.4714,              0.0005348,              0.0005348,              0.0005348
                     40,                  1.178,                 1.8087,                 1.0477,                0.83899,                0.65471,                0.93944,                0.50188,                 1.7018,                 2.8932,                 1.4702,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.9977,                 1.7771,                 1.0417,                0.83899,                0.65471,                0.93944,                0.50188,                 1.7018,                 2.8932,                 1.4702,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1523,                 1.7472,                 1.0986,                0.83718,                0.64522,                0.93944,                0.46238,                 1.6682,                 2.7443,                 1.4479,               0.000416,               0.000416,               0.000416
                     43,                 1.0841,                 1.9091,                 1.0879,                0.83126,                0.61721,                 0.9235,                0.46079,                 1.6231,                 2.6647,                 1.4107,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0346,                 1.8385,                 1.0651,                0.99297,                    0.5,                0.72289,                0.41484,                 1.5993,                 2.5471,                 1.3857,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0897,                 1.9316,                 1.0612,                0.99297,                    0.5,                0.72289,                0.41484,                 1.5993,                 2.5471,                 1.3857,              0.0002972,              0.0002972,              0.0002972
                     46,                0.99779,                 1.9373,                 1.1064,                0.98133,                    0.5,                0.71367,                0.41328,                 1.5706,                 2.4354,                 1.3636,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.1286,                 1.8247,                 1.1233,                0.85323,                0.72946,                0.84829,                0.49577,                 1.5731,                  2.309,                 1.3716,               0.000218,               0.000218,               0.000218
                     48,                0.98852,                 1.7073,                 1.1009,                0.73599,                  0.875,                0.89767,                0.52044,                 1.5541,                 2.1775,                 1.3752,              0.0001784,              0.0001784,              0.0001784
                     49,                0.89738,                 1.7943,                0.97092,                0.73599,                  0.875,                0.89767,                0.52044,                 1.5541,                 2.1775,                 1.3752,              0.0001388,              0.0001388,              0.0001388
                     50,                0.92893,                 1.7366,                 1.0665,                0.70402,                0.89344,                0.89767,                0.48727,                 1.5212,                 2.1098,                 1.3727,               9.92e-05,               9.92e-05,               9.92e-05
