                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6898,                 6.9831,                 1.8913,                      0,                      0,                      0,                      0,                  1.948,                  6.515,                 1.6578,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.3894,                 8.3631,                 2.1172,                      0,                      0,                      0,                      0,                 1.8654,                 6.5337,                 1.6342,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 2.3789,                 7.2271,                 1.7853,                      0,                      0,                      0,                      0,                  2.104,                 7.1875,                 1.7679,             0.00015366,             0.00015366,             0.00015366
                      4,                 1.9285,                 5.7546,                  1.318,                      0,                      0,                      0,                      0,                 1.9451,                 6.9817,                 1.6899,             0.00020693,             0.00020693,             0.00020693
                      5,                 2.0349,                 5.4067,                 1.1953,                      0,                      0,                      0,                      0,                 1.7995,                 6.4413,                 1.5772,             0.00025782,             0.00025782,             0.00025782
                      6,                 1.7966,                 3.8068,                 1.2071,                 0.0003,                  0.125,                0.00023,                0.00014,                 1.7534,                    6.2,                 1.5349,             0.00030634,             0.00030634,             0.00030634
                      7,                 1.8581,                  3.389,                 1.2453,                0.00061,                   0.25,                0.00047,                0.00021,                 1.7161,                 6.1392,                 1.5026,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.7782,                 3.0724,                 1.2044,                0.00061,                   0.25,                0.00057,                0.00026,                 1.6528,                 6.1938,                 1.5076,             0.00039624,             0.00039624,             0.00039624
                      9,                 1.5513,                 4.4488,                  1.132,                0.00182,                   0.75,                0.00273,                0.00099,                 1.6559,                 6.0891,                 1.3055,             0.00043763,             0.00043763,             0.00043763
                     10,                 1.5307,                 2.9699,                 1.0784,                0.00212,                  0.875,                0.00364,                0.00139,                 1.5856,                 5.7664,                  1.156,             0.00047664,             0.00047664,             0.00047664
                     11,                 1.5019,                 2.7932,                 1.0626,                0.00242,                      1,                0.00555,                0.00287,                 1.6997,                 5.4448,                 1.1239,             0.00051328,             0.00051328,             0.00051328
                     12,                 1.5819,                 2.6199,                 1.0387,                0.00242,                      1,                0.00412,                0.00164,                 1.6598,                 5.5084,                 1.1367,             0.00054754,             0.00054754,             0.00054754
                     13,                 1.6082,                 2.7602,                 1.1348,                0.00212,                  0.875,                0.00313,                0.00116,                 1.5703,                 5.4372,                 1.2393,             0.00057942,             0.00057942,             0.00057942
                     14,                  1.522,                 2.2256,                 1.1102,                0.00212,                  0.875,                 0.0031,                0.00148,                 1.6372,                 5.3081,                 1.2781,             0.00060893,             0.00060893,             0.00060893
                     15,                 1.4728,                 2.6206,                 1.1948,                0.00212,                  0.875,                0.00268,                0.00144,                 1.6913,                 6.2249,                 1.2282,             0.00063606,             0.00063606,             0.00063606
                     16,                 1.5368,                 3.1016,                 1.2086,                0.00212,                  0.875,                 0.0027,                0.00136,                 1.8006,                 26.596,                 1.3203,             0.00066082,             0.00066082,             0.00066082
                     17,                 1.4741,                 2.6832,                 1.2302,                0.00182,                   0.75,                0.00201,                0.00097,                 1.7037,                 5.2883,                 1.3273,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.3847,                 2.5289,                 1.2185,                0.00182,                   0.75,                0.00184,                0.00067,                 1.5405,                 5.2684,                 1.2876,              0.0007032,              0.0007032,              0.0007032
                     19,                 1.4111,                 2.6659,                 1.1794,                0.00182,                   0.75,                0.00206,                0.00079,                 1.4339,                 5.2983,                 1.2506,             0.00072083,             0.00072083,             0.00072083
                     20,                 1.3593,                 2.6376,                 1.0881,                0.00212,                  0.875,                0.00247,                0.00097,                 1.4159,                 5.2709,                 1.2416,             0.00073608,             0.00073608,             0.00073608
                     21,                 1.4604,                 1.9836,                 1.1021,                0.00182,                   0.75,                 0.0018,                  0.001,                 1.5043,                  5.232,                 1.3215,             0.00074896,             0.00074896,             0.00074896
                     22,                 1.3152,                 2.3725,                 1.1148,                0.00152,                  0.625,                 0.0016,                0.00102,                 1.5129,                 5.1565,                 1.3947,             0.00075946,             0.00075946,             0.00075946
                     23,                 1.1265,                 1.7987,                 1.0394,                0.00152,                  0.625,                0.00167,                  0.001,                  1.495,                 5.0139,                 1.3805,             0.00076758,             0.00076758,             0.00076758
                     24,                 1.1657,                 1.7479,                 1.0111,                0.00152,                  0.625,                0.00171,                0.00099,                 1.3704,                 4.8258,                 1.3347,             0.00077333,             0.00077333,             0.00077333
                     25,                 1.3625,                 2.1101,                 1.0934,                0.00152,                  0.625,                0.00169,                0.00092,                 1.3858,                 4.7089,                 1.3356,              0.0007767,              0.0007767,              0.0007767
                     26,                 1.1791,                 1.8722,                 1.0398,                0.00152,                  0.625,                0.00137,                0.00074,                 1.3885,                 4.7398,                 1.3097,              0.0007777,              0.0007777,              0.0007777
                     27,                  1.242,                 1.9187,                 1.1117,                0.00152,                  0.625,                 0.0016,                0.00072,                 1.3641,                 4.7648,                 1.2884,             0.00077632,             0.00077632,             0.00077632
                     28,                 1.3294,                 1.8365,                 1.0765,                0.00152,                  0.625,                0.00162,                0.00096,                 1.3317,                  4.673,                 1.2664,             0.00077256,             0.00077256,             0.00077256
                     29,                 1.2102,                 1.9797,                 1.0764,                0.00152,                  0.625,                0.00162,                0.00096,                 1.3317,                  4.673,                 1.2664,             0.00076643,             0.00076643,             0.00076643
