                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3628,                 1.7706,                 1.1345,                0.00121,                    0.5,                0.12587,                0.06291,                 1.7244,                 4.2607,                 1.6416,              0.0019347,              0.0019347,              0.0019347
                     36,                  1.352,                 1.8394,                 1.0745,                0.85161,                  0.125,                0.12999,                0.05181,                  1.727,                 3.8579,                  1.614,              0.0019327,              0.0019327,              0.0019327
                     37,                 1.3933,                 1.9553,                 1.1166,                0.85161,                  0.125,                0.12999,                0.05181,                  1.727,                 3.8579,                  1.614,              0.0019307,              0.0019307,              0.0019307
                     38,                 1.4529,                  1.898,                 1.1064,                      1,                0.24871,                0.50314,                0.14073,                 1.6471,                 3.4122,                 1.5166,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.3538,                 1.7024,                 1.1523,                      1,                0.46825,                0.54784,                0.22185,                 1.6636,                 3.0102,                 1.4815,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.3186,                 1.9118,                 1.0883,                0.11359,                  0.375,                 0.1059,                0.05749,                 1.6237,                 3.7457,                 1.4105,              0.0019248,              0.0019248,              0.0019248
                     41,                 1.3391,                 1.5276,                 1.1414,                0.11359,                  0.375,                 0.1059,                0.05749,                 1.6237,                 3.7457,                 1.4105,              0.0019228,              0.0019228,              0.0019228
                     42,                 1.3324,                 2.6227,                 1.2849,                0.02652,                  0.625,                0.02828,                0.01396,                 1.5676,                 71.833,                 1.3995,              0.0019208,              0.0019208,              0.0019208
                     43,                  1.446,                  1.777,                 1.0934,                0.82703,                   0.75,                0.78494,                0.38403,                 1.6233,                 2.1591,                 1.5226,              0.0019188,              0.0019188,              0.0019188
                     44,                 1.2991,                 1.8396,                 1.1383,                      1,                0.60515,                  0.849,                0.40976,                  1.624,                 1.9742,                  1.544,              0.0019168,              0.0019168,              0.0019168
                     45,                 1.2581,                 1.4852,                 1.1818,                      1,                0.60515,                  0.849,                0.40976,                  1.624,                 1.9742,                  1.544,              0.0019149,              0.0019149,              0.0019149
                     46,                 1.3119,                 1.8835,                  1.162,                0.80127,                  0.875,                0.93975,                0.47475,                 1.6279,                 1.9135,                 1.5067,              0.0019129,              0.0019129,              0.0019129
                     47,                 1.4114,                 1.7905,                 1.2276,                0.93117,                  0.875,                0.96227,                0.51109,                 1.5897,                 1.9715,                 1.4225,              0.0019109,              0.0019109,              0.0019109
                     48,                 1.3721,                 1.6708,                 1.1438,                0.95272,                  0.875,                0.90929,                0.49956,                 1.6261,                 1.9412,                 1.4479,              0.0019089,              0.0019089,              0.0019089
                     49,                 1.3054,                 1.4412,                  1.104,                0.95272,                  0.875,                0.90929,                0.49956,                 1.6261,                 1.9412,                 1.4479,              0.0019069,              0.0019069,              0.0019069
                     50,                 1.3201,                 1.5307,                 1.0647,                0.86988,                0.83915,                0.85365,                0.42441,                 1.6847,                 2.0747,                 1.5761,               0.001905,               0.001905,               0.001905
                     51,                 1.3479,                 1.5966,                 1.1024,                0.85463,                0.73682,                 0.7769,                0.36549,                 1.7141,                  2.031,                 1.6396,               0.001903,               0.001903,               0.001903
                     52,                  1.292,                 1.6962,                 1.1129,                 0.3963,                   0.75,                0.39922,                0.19095,                 1.6483,                 2.0958,                 1.6233,               0.001901,               0.001901,               0.001901
                     53,                 1.1662,                 1.2586,                 1.0199,                 0.3963,                   0.75,                0.39922,                0.19095,                 1.6483,                 2.0958,                 1.6233,               0.001899,               0.001899,               0.001899
                     54,                 1.4572,                 1.5429,                 1.0968,                0.64161,                   0.75,                0.69095,                0.38705,                 1.6103,                 1.9164,                 1.6013,               0.001897,               0.001897,               0.001897
                     55,                 1.3866,                 1.4738,                 1.1008,                0.98532,                    0.5,                0.58742,                0.35525,                 1.6882,                 2.2103,                 1.6669,              0.0018951,              0.0018951,              0.0018951
                     56,                 1.4334,                 1.4623,                 1.1832,                0.83247,                0.62177,                0.77886,                0.43979,                 1.8268,                 1.9334,                 1.7537,              0.0018931,              0.0018931,              0.0018931
                     57,                 1.4058,                 1.4002,                  1.157,                0.83247,                0.62177,                0.77886,                0.43979,                 1.8268,                 1.9334,                 1.7537,              0.0018911,              0.0018911,              0.0018911
