                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 1.0702,                0.76651,                 1.0057,                0.97688,                      1,                  0.995,                0.60705,                 1.4541,                0.75143,                  1.387,              0.0017228,              0.0017228,              0.0017228
                    143,                 1.0221,                 0.7424,                0.97652,                0.98377,                      1,                  0.995,                 0.6199,                 1.4769,                0.75842,                 1.3997,              0.0017208,              0.0017208,              0.0017208
                    144,                0.94349,                0.66606,                 1.0105,                0.98008,                      1,                  0.995,                0.62749,                 1.4508,                0.76052,                 1.3733,              0.0017188,              0.0017188,              0.0017188
                    145,                0.98848,                 0.7171,                0.99332,                0.98008,                      1,                  0.995,                0.62749,                 1.4508,                0.76052,                 1.3733,              0.0017169,              0.0017169,              0.0017169
                    146,                0.98486,                0.69688,                 1.0427,                0.86672,                  0.875,                0.85993,                0.59707,                 1.4305,                0.78652,                 1.3676,              0.0017149,              0.0017149,              0.0017149
                    147,                0.91019,                0.66863,                0.89594,                0.86386,                  0.875,                0.87056,                0.58613,                 1.4357,                0.76262,                 1.3916,              0.0017129,              0.0017129,              0.0017129
                    148,                 1.0132,                0.68128,                  0.987,                 0.8636,                  0.875,                0.90928,                  0.607,                 1.4562,                0.73605,                 1.4164,              0.0017109,              0.0017109,              0.0017109
                    149,                 1.0124,                0.77883,                0.95773,                 0.8636,                  0.875,                0.90928,                  0.607,                 1.4562,                0.73605,                 1.4164,              0.0017089,              0.0017089,              0.0017089
                    150,                0.93826,                0.66023,                0.93702,                0.86287,                  0.875,                0.89875,                0.58483,                 1.4592,                0.75285,                 1.4388,               0.001707,               0.001707,               0.001707
                    151,                 1.0436,                0.78329,                0.92867,                0.85832,                  0.875,                0.88161,                0.57545,                 1.4864,                0.76554,                 1.4526,               0.001705,               0.001705,               0.001705
                    152,                 1.0854,                0.72408,                 1.0465,                0.83165,                  0.875,                0.86954,                0.56226,                 1.5493,                0.86261,                 1.4436,               0.001703,               0.001703,               0.001703
                    153,                  1.122,                0.82024,                0.99164,                0.83165,                  0.875,                0.86954,                0.56226,                 1.5493,                0.86261,                 1.4436,               0.001701,               0.001701,               0.001701
                    154,                 1.0656,                0.79385,                0.98896,                0.83047,                  0.875,                0.86397,                0.55461,                 1.5953,                0.96406,                 1.4621,               0.001699,               0.001699,               0.001699
                    155,                 1.3932,                0.79593,                 1.0376,                0.84154,                  0.875,                0.86468,                0.49403,                 1.6644,                 1.1325,                 1.5251,              0.0016971,              0.0016971,              0.0016971
                    156,                 1.1476,                0.83345,                 1.0027,                0.84353,                  0.875,                0.86689,                0.52266,                 1.6208,                 1.0871,                 1.5099,              0.0016951,              0.0016951,              0.0016951
                    157,                  1.033,                0.72397,                 1.0667,                0.84353,                  0.875,                0.86689,                0.52266,                 1.6208,                 1.0871,                 1.5099,              0.0016931,              0.0016931,              0.0016931
                    158,                 1.0278,                0.74128,                0.97975,                0.76828,                  0.875,                0.85678,                0.50023,                 1.5062,                0.88025,                 1.4579,              0.0016911,              0.0016911,              0.0016911
                    159,                0.88647,                 0.6855,                0.95526,                0.87755,                      1,                0.96722,                0.57292,                 1.4375,                0.78749,                 1.4337,              0.0016891,              0.0016891,              0.0016891
                    160,                0.97867,                0.67711,                0.98405,                0.98688,                      1,                  0.995,                0.57643,                 1.4438,                0.77776,                 1.4072,              0.0016872,              0.0016872,              0.0016872
                    161,                 1.0854,                0.83731,                 1.0049,                0.98688,                      1,                  0.995,                0.57643,                 1.4438,                0.77776,                 1.4072,              0.0016852,              0.0016852,              0.0016852
                    162,                0.84589,                0.58415,                 0.8843,                0.98723,                      1,                  0.995,                0.57702,                 1.4987,                0.82303,                 1.4255,              0.0016832,              0.0016832,              0.0016832
                    163,                0.93393,                0.69845,                0.97047,                   0.99,                      1,                  0.995,                0.56392,                   1.52,                0.83957,                 1.4381,              0.0016812,              0.0016812,              0.0016812
                    164,                0.89515,                0.63257,                0.95517,                0.99106,                      1,                  0.995,                0.52579,                 1.5525,                0.83107,                 1.4399,              0.0016792,              0.0016792,              0.0016792
                    165,                0.96295,                0.62468,                0.96106,                0.99106,                      1,                  0.995,                0.52579,                 1.5525,                0.83107,                 1.4399,              0.0016773,              0.0016773,              0.0016773
                    166,                 1.1697,                0.72962,                 1.0538,                0.99039,                      1,                  0.995,                0.56381,                 1.5341,                0.81529,                 1.4026,              0.0016753,              0.0016753,              0.0016753
                    167,                0.90542,                0.65413,                 1.0161,                 0.9903,                      1,                  0.995,                0.54839,                 1.4772,                0.79835,                 1.3888,              0.0016733,              0.0016733,              0.0016733
                    168,                   1.08,                0.67659,                0.96335,                0.99229,                      1,                  0.995,                0.52563,                 1.5112,                0.83515,                 1.4002,              0.0016713,              0.0016713,              0.0016713
                    169,                 1.0673,                 0.6719,                 1.0065,                0.99229,                      1,                  0.995,                0.52563,                 1.5112,                0.83515,                 1.4002,              0.0016693,              0.0016693,              0.0016693
                    170,                0.85713,                0.60602,                0.84233,                0.86935,                  0.875,                0.85989,                0.50431,                 1.5478,                0.85253,                 1.4402,              0.0016674,              0.0016674,              0.0016674
                    171,                0.96029,                0.63268,                0.99622,                0.87021,                  0.875,                0.86053,                0.52551,                 1.5196,                0.83899,                 1.4493,              0.0016654,              0.0016654,              0.0016654
                    172,                 0.8265,                0.65971,                0.91565,                0.87282,                  0.875,                0.88549,                0.57408,                 1.4583,                0.74613,                 1.4491,              0.0016634,              0.0016634,              0.0016634
                    173,                0.93167,                0.62385,                0.93922,                0.87282,                  0.875,                0.88549,                0.57408,                 1.4583,                0.74613,                 1.4491,              0.0016614,              0.0016614,              0.0016614
                    174,                 1.0262,                0.70708,                0.95286,                0.87429,                0.87002,                0.86557,                0.57988,                 1.4943,                0.77288,                 1.4781,              0.0016594,              0.0016594,              0.0016594
                    175,                 1.0438,                0.70703,                 1.0053,                0.87371,                0.86598,                0.85215,                0.57729,                 1.5027,                0.82198,                 1.4801,              0.0016575,              0.0016575,              0.0016575
                    176,                 1.0008,                0.67489,                0.95329,                0.87366,                0.86564,                0.85467,                0.58658,                  1.434,                 0.8263,                 1.4198,              0.0016555,              0.0016555,              0.0016555
                    177,                 1.0146,                0.66296,                0.98951,                0.87366,                0.86564,                0.85467,                0.58658,                  1.434,                 0.8263,                 1.4198,              0.0016535,              0.0016535,              0.0016535
                    178,                0.93967,                0.65503,                0.91426,                0.87381,                0.86669,                0.85935,                0.62193,                 1.4073,                0.85155,                 1.3698,              0.0016515,              0.0016515,              0.0016515
                    179,                 1.0688,                0.78901,                 1.0439,                0.87455,                0.87183,                0.85784,                0.60027,                 1.3042,                0.79129,                 1.2866,              0.0016495,              0.0016495,              0.0016495
                    180,                 1.1298,                0.70636,                0.97601,                0.87147,                  0.875,                0.85495,                0.60816,                 1.2666,                0.81579,                 1.2706,              0.0016476,              0.0016476,              0.0016476
                    181,                 1.1193,                0.65944,                 1.0498,                0.87147,                  0.875,                0.85495,                0.60816,                 1.2666,                0.81579,                 1.2706,              0.0016456,              0.0016456,              0.0016456
                    182,                0.93085,                0.70271,                0.93298,                0.87046,                  0.875,                0.87685,                0.60794,                 1.2809,                0.74672,                 1.2689,              0.0016436,              0.0016436,              0.0016436
                    183,                 0.8902,                0.57731,                0.95179,                0.87462,                0.87232,                0.85368,                0.59656,                 1.3549,                0.75161,                 1.3046,              0.0016416,              0.0016416,              0.0016416
                    184,                0.95568,                0.57934,                0.91516,                      1,                0.99289,                  0.995,                0.60987,                  1.373,                0.82388,                 1.3341,              0.0016396,              0.0016396,              0.0016396
                    185,                 1.0287,                0.70252,                0.98084,                      1,                0.99289,                  0.995,                0.60987,                  1.373,                0.82388,                 1.3341,              0.0016377,              0.0016377,              0.0016377
                    186,                0.87342,                0.60904,                0.96711,                      1,                0.98967,                  0.995,                0.60041,                 1.3851,                0.88466,                 1.3345,              0.0016357,              0.0016357,              0.0016357
                    187,                0.99081,                0.60635,                0.95428,                 0.8512,                   0.75,                0.77288,                0.50282,                 1.4338,                0.91504,                 1.3423,              0.0016337,              0.0016337,              0.0016337
                    188,                 1.0131,                0.66114,                0.99094,                0.86535,                  0.875,                0.82353,                 0.5274,                 1.4632,                0.85567,                 1.3508,              0.0016317,              0.0016317,              0.0016317
                    189,                0.95241,                0.61553,                0.92877,                0.86535,                  0.875,                0.82353,                 0.5274,                 1.4632,                0.85567,                 1.3508,              0.0016297,              0.0016297,              0.0016297
                    190,                0.88967,                0.99726,                0.89478,                0.77374,                  0.875,                0.81725,                 0.5145,                 1.4659,                0.84699,                 1.3205,              0.0016278,              0.0016278,              0.0016278
                    191,                0.98394,                0.64175,                0.93418,                0.88848,                0.99632,                0.98167,                0.53298,                 1.5155,                0.87534,                 1.3293,              0.0016258,              0.0016258,              0.0016258
                    192,                0.83824,                0.55509,                0.91854,                0.88051,                      1,                0.98167,                0.53149,                  1.565,                0.87749,                 1.3472,              0.0016238,              0.0016238,              0.0016238
                    193,                0.93524,                0.63243,                0.92137,                0.88051,                      1,                0.98167,                0.53149,                  1.565,                0.87749,                 1.3472,              0.0016218,              0.0016218,              0.0016218
                    194,                0.94515,                0.80076,                0.96046,                0.97183,                      1,                  0.995,                0.52067,                 1.5914,                0.84174,                 1.3841,              0.0016198,              0.0016198,              0.0016198
                    195,                 1.0898,                0.66295,                0.97184,                0.99972,                      1,                  0.995,                0.50454,                 1.5788,                0.77669,                 1.4215,              0.0016179,              0.0016179,              0.0016179
